RefDes,Qty,Category,Value,Manufacturer,MPN,LCSC_PN,Package,Footprint,Voltage_Rating,Tolerance,Power_Rating,Assembly,DNP,Notes,Datasheet
J_POWER,1,Power Connectors,XT30 2P,Changzhou Amass Elec,XT30PW-M30.G.Y,C431092,-,CONN-TH_XT30PW-M [UNVERIFIED],,,,THT_TOP,NO,PIN1 +24V_LOGIC; PIN2 GND. Logic branch only; verify moulded +/− against library pads.,https://datasheet.lcsc.com/datasheet/pdf/f40c503d729038bd14858056d73ccb74.pdf?productCode=C431092
F1,1,Fuses,1A 125V,Littelfuse,0451001.MRL,C3099,2410,FUSE-SMD_L6.1-W2.6 [UNVERIFIED],125V,,,SMT_TOP,NO,1A fast fuse; upstream battery branch fuse required; interrupt rating coordination pending.,https://datasheet.lcsc.com/datasheet/pdf/00c9748756ca418792b5b22a2bd74996.pdf?productCode=C3099
D_REVERSE,1,Single Diodes,SS310 100V 3A,GOODWORK,SS310,C2848687,SMA(DO-214AC),SMA_L4.3-W2.6-LS5.1-R-RD [UNVERIFIED],,,,SMT_TOP,NO,100V/3A series Schottky; cathode downstream.,https://datasheet.lcsc.com/datasheet/pdf/99efa47dcb98c002cc80beb74904af65.pdf?productCode=C2848687
D_INPUT,1,TVS Diodes,SMBJ33A,MDD(Microdiode Semiconductor),SMBJ33A,C173526,DO-214AA(SMB),SMB_L4.6-W3.6-LS5.3-RD [UNVERIFIED],,,,SMT_TOP,NO,"SMBJ33A, VRWM33V, VC53.3V at rated pulse.",https://datasheet.lcsc.com/datasheet/pdf/2fdb55289569ebfc0bc21eab3853afe6.pdf?productCode=C173526
C_IN_BULK,1,Aluminum - Polymer Capacitors,47uF,PANASONIC,63SXV47M,C178377,"SMD,D10xL12.6mm",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD-1 [UNVERIFIED],63V,±20%,,SMT_TOP,NO,47uF/63V polymer. Pin1 positive.,https://datasheet.lcsc.com/datasheet/pdf/128402af54cf4e6ebab28b0ce30e07fb.pdf?productCode=C178377
C_IN,1,Ceramic Capacitors,4.7uF,Kyocera AVX,12101C475K4T2A,C2325876,1210,C1210 [UNVERIFIED],100V,±10%,,SMT_TOP,NO,4.7uF/100V X7R; immediately across VIN/GND.,https://www.lcsc.com/datasheet/C2325876.pdf
C_IN_HF,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KCFSFNE,C398816,0805,C0805 [UNVERIFIED],100V,±10%,,SMT_TOP,NO,100nF/100V; minimum hot-loop area.,https://datasheet.lcsc.com/datasheet/pdf/027b5a29c43d158ed795bf73acd3fcbc.pdf?productCode=C398816
U_BUCK,1,Voltage Regulators - DC DC Switching Regulators,5V 2A Buck,TI,LMR38020FDDAR,C5149193,SO-PowerPAD-8,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-1 [UNVERIFIED],,,,SMT_TOP,NO,CRITICAL LAYOUT AREA. EN=VIN; exposed pad GND. No external VCC pin.,https://datasheet.lcsc.com/datasheet/pdf/ec6587c13899eda138625fa2c78da98a.pdf?productCode=C5149193
R_RT,1,Chip Resistor - Surface Mount,64.9k,UNI-ROYAL,0805W8F6492T5E,C17788,0805,R0805 [UNVERIFIED],150V,±1%,125mW,SMT_TOP,NO,"400kHz, TI Table 8-1.",https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C17788
C_BOOT,1,Ceramic Capacitors,100nF,Samsung Electro-Mechanics,CL21B104KBCNNNC,C1711,0805,C0805 [UNVERIFIED],50V,±10%,,SMT_TOP,NO,"100nF directly BOOT to SW, not GND.",https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1711
L1,1,Fixed Inductors,15uH,Shun Xiang Nuo,SMDRI127-150MT,C40000,"SMD,12.3x12.3mm",IND-SMD_L12.5-W12.5_RLF12545T [UNVERIFIED],,±20%,,SMT_TOP,NO,"15uH, 4.5A thermal/8A saturation at specified test conditions.",https://datasheet.lcsc.com/datasheet/pdf/aa59274d1174eb16f1491f7db2812ea7.pdf?productCode=C40000
C_OUT1,1,Ceramic Capacitors,22uF,Samsung Electro-Mechanics,CL32B226KAJNNNE,C309062,1210,C1210 [UNVERIFIED],25V,±10%,,SMT_TOP,NO,"22uF/25V X7R, 1210; verify DC-bias effective capacitance.",https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C309062
